plan_id,class_id,course_ware_id,package_id,page_id,order_id,interaction_id,stu_id,test_id,is_playback,is_force,submit_time,ability,subability,typea,typeb,difficulty_level,total_correct,total_incorrect,correct_click,incorrect_click,score,dt
812060,1255173,122174,5844198,6626842,0,152961563550924424,41499179,1,0,0,2021-03-13 19:39:17.0,字形规则意识,目标部件搜索训练,200,201,1,3,0,,,100,2021-03-17
812042,1730281,129978,6079407,6881818,0,2511061667246316104,17784697,1,0,1,2021-03-25 19:43:40.0,字形规则意识,部件位置判断训练,200,204,1,5,3,8,1,62.5,2021-04-01
878731,2203437,119237,5616409,6383612,0,2225461434067337658,63745879,1,0,1,2021-02-26 19:59:32.0,视觉能力,视觉辨识训练,400,401,1,5,0,,,100,2021-03-03
812275,1786677,119208,5496344,6256880,0,463461252355045694,60969242,1,0,0,2021-02-05 19:13:44.0,注意力,注意搜索训练,500,501,1,5,0,15,0,100.00,2021-02-19
980779,1650353,122790,5066771,5804332,0,1120561070477640448,22067251,1,0,1,2021-01-15 18:01:58.0,语素意识,动词词语结构与词汇积累训练,300,301,1,1,0,,,100,2021-02-19
878670,1650379,125196,5907628,6695914,0,949461598281941638,61738150,1,0,0,2021-03-17 20:09:07.0,语素意识,动词词语结构与词汇积累训练,300,301,1,4,0,,,100,2021-03-17
878653,1650328,110771,4867618,5585182,0,2131160837829560050,43304517,1,0,0,2020-12-19 19:45:56.0,视动能力,空间位置判断训练,400,403,1,3,0,,,100,2021-02-19
812259,1255374,125335,5909077,6697507,0,948961580887278200,59713336,1,0,0,2021-03-15 19:49:09.0,注意力,注意定向训练,500,502,3,8,0,,,100.00,2021-03-17
812047,1255178,122986,5068486,5806149,0,3215261019168370304,56656198,1,0,0,2021-01-09 19:30:04.0,注意力,注意抑制训练,500,504,1,13,0,13,0,91,2021-02-19
812040,1738048,126163,5939757,6731602,0,1868061606636068786,10380244,1,0,0,2021-03-18 19:21:09.0,语音意识,声调辨识训练,100,101,2,3,1,,,75,2021-03-24
812267,1255415,123478,5080770,5819160,0,3215361010562852812,30284590,1,1,0,2021-01-08 21:21:35.0,语音意识,声调辨识训练,100,101,1,3,1,,,75,2021-02-19
910230,1770564,116416,4945872,5672163,0,40660993266523526,60981901,1,0,0,2021-01-06 19:33:06.0,注意力,注意广度训练,500,503,2,14,0,14,0,110,2021-02-19
910244,1861560,122174,5844198,6626842,0,796861563554702014,62649886,1,1,0,2021-03-20 21:48:22.0,字形规则意识,目标部件搜索训练,200,201,1,3,0,,,100,2021-03-24
811991,2279920,121194,5496620,6257185,0,2627561477112412666,65169725,1,0,0,2021-03-03 19:33:55.0,注意力,注意抑制训练,500,504,1,13,0,13,0,100,2021-03-03
876567,1257769,111834,5138950,5880390,0,3215461044861496734,22200911,1,0,0,2021-01-12 18:51:11.0,视动能力,手眼配合训练,400,402,3,9,0,,,100,2021-02-19
812028,1656352,115153,5192630,5937157,0,45561097008383432,50106771,1,0,0,2021-01-18 19:43:16.0,语音意识,声调辨识训练,100,101,1,3,0,,,100,2021-02-19
812253,1255332,119208,5496344,6256880,0,895561243924920930,48160545,1,0,0,2021-02-04 19:48:55.0,注意力,注意搜索训练,500,501,1,4,1,11,2,72.00,2021-02-19
812065,1255229,110783,4861777,5578856,0,2131160794431611224,3660651,1,0,0,2020-12-14 19:13:50.0,注意力,注意抑制训练,500,504,1,13,1,13,1,94,2021-02-19
816074,1255447,110783,4861787,5578866,0,3215460803209536312,15742557,1,0,0,2020-12-15 19:35:57.0,视动能力,空间位置判断训练,400,403,1,3,0,,,100,2021-02-19
812235,1762735,122723,5793063,6571126,0,2226261520127840730,14620432,1,0,0,2021-03-08 19:03:41.0,语音意识,韵脚辨识训练,100,102,1,3,0,,,100,2021-03-10
816086,1775043,120286,5465048,6223720,0,442361252471621570,62464923,1,0,0,2021-02-05 19:34:00.0,注意力,注意抑制训练,500,504,1,14,0,14,0,95.5,2021-02-19
878729,2203444,117674,5430757,6186872,0,592461226643891858,16322206,1,0,0,2021-02-02 19:48:37.0,注意力,注意搜索训练,500,501,2,5,0,10,1,100.00,2021-02-19
811996,1254957,126163,5939757,6731602,0,206461623913568172,23813935,1,0,0,2021-03-20 19:21:19.0,语音意识,声调辨识训练,100,101,2,3,2,,,60,2021-03-24
812065,1656432,110783,4861777,5578856,0,2131160794431611224,11698796,1,0,0,2020-12-14 19:14:28.0,注意力,注意抑制训练,500,504,1,13,0,13,0,100,2021-02-19
811997,1254961,124113,6056193,6856605,0,206761658430978250,49938977,1,0,0,2021-03-24 19:13:32.0,注意力,注意抑制训练,500,504,1,13,1,13,1,95.5,2021-03-24
812043,1255174,110783,4861787,5578866,0,3215460811817586548,47796067,1,1,0,2021-01-05 21:18:59.0,视动能力,空间位置判断训练,400,403,1,3,0,,,100,2021-02-19
812259,1255337,125335,5909077,6697507,0,948961580887278200,51341779,1,0,0,2021-03-15 19:48:54.0,注意力,注意定向训练,500,502,3,8,0,,,100.00,2021-03-17
812060,1762609,122174,5844198,6626842,0,152961563550924424,9834667,1,0,0,2021-03-13 19:39:30.0,字形规则意识,目标部件搜索训练,200,201,1,3,0,,,100,2021-03-17
878708,1689898,119208,5496344,6256880,0,463461260990373776,49778407,1,1,0,2021-02-25 13:50:56.0,注意力,注意搜索训练,500,501,1,5,0,13,2,100.00,2021-03-03
811999,1255025,110783,4861777,5578856,0,3215260793902578498,42510726,1,0,0,2020-12-14 17:45:41.0,注意力,注意抑制训练,500,504,1,13,2,13,2,89,2021-02-19
811997,1254854,124113,6056199,6856611,0,179761658567672570,15574089,1,1,0,2021-03-27 13:05:52.0,语素意识,动词词语结构与词汇积累训练,300,301,1,4,0,,,100,2021-04-01
812271,1255394,130233,5306049,6054743,0,2316361131399793128,5608320,1,0,0,2021-01-22 19:13:51.0,视动能力,手眼配合训练,400,402,1,5,0,,,100,2021-02-19
812076,1255224,117486,5435629,6191915,0,710761217903543434,59863473,1,0,0,2021-02-01 19:32:26.0,注意力,注意广度训练,500,503,2,14,0,14,0,110,2021-02-19
812002,1254999,116416,4945872,5672163,0,3215260975479207932,22379652,1,0,0,2021-01-04 18:08:31.0,注意力,注意广度训练,500,503,2,14,3,14,3,91.6,2021-02-19
878739,1750912,133373,6089034,6892258,0,540261675933848160,62476613,1,0,1,2021-03-26 19:51:06.0,语音意识,声调辨识训练,100,101,1,3,1,,,75,2021-04-01
878702,1770177,116770,5179622,5923294,0,998261079569625614,62479500,1,0,0,2021-01-16 19:15:48.0,视动能力,手眼配合训练,400,402,1,8,0,,,100,2021-02-19
812076,1689575,117486,5435629,6191915,0,710761217903543434,24466621,1,0,0,2021-02-01 19:32:24.0,注意力,注意广度训练,500,503,2,14,1,14,1,101.6,2021-02-19
812206,1867699,131222,5347625,6098976,0,3215261165943752564,64959894,1,0,0,2021-01-26 19:11:46.0,字形规则意识,目标部件搜索训练,200,201,2,3,1,,,75,2021-02-19
876575,2202770,120372,5522349,6284137,0,2508161433768655810,63019610,1,0,0,2021-02-26 19:10:07.0,字形规则意识,部件位置判断训练,200,204,1,5,3,9,3,62.5,2021-03-03
811977,1254854,110783,4861777,5578856,0,3215460811715332612,21849597,1,0,0,2020-12-16 19:14:32.0,注意力,注意抑制训练,500,504,1,13,0,13,0,100,2021-02-19
816094,2279904,124113,6056193,6856605,0,898861649789715456,52757665,1,0,0,2021-03-23 19:13:06.0,注意力,注意抑制训练,500,504,1,13,1,13,1,91.5,2021-03-24
812210,1255243,119237,5560329,6324384,0,2454261433795607218,23250571,1,0,0,2021-02-26 19:13:38.0,字形规则意识,目标部件搜索训练,200,201,1,3,0,,,100,2021-03-03
816077,1255465,116416,4945872,5672163,0,3215160984624864086,56331855,1,0,0,2021-01-05 19:32:43.0,注意力,注意广度训练,500,503,2,14,0,14,0,110,2021-02-19
878730,1651123,119208,5496347,6256883,0,1000161252631666820,57400366,1,0,1,2021-02-05 20:01:03.0,语音意识,声调辨识训练,100,101,1,2,0,,,100,2021-02-19
812016,1255006,122174,5843229,6625867,0,923061545723203594,17290851,1,0,0,2021-03-11 18:09:08.0,注意力,注意抑制训练,500,504,1,13,0,13,0,92.5,2021-03-17
812046,1255151,116416,4945879,5672170,0,3215260993301826836,41953596,1,0,0,2021-01-06 19:38:02.0,字形规则意识,目标部件搜索训练,200,201,1,2,1,,,67,2021-02-19
876562,1257766,110783,4861777,5578856,0,3215360802892241482,43303447,1,1,0,2020-12-18 22:19:49.0,注意力,注意抑制训练,500,504,1,13,0,13,0,100,2021-02-19
812266,1651126,122828,5061673,5798985,0,149960984624776132,54484165,1,1,0,2021-01-07 17:14:53.0,语音意识,声调辨识训练,100,101,1,3,2,,,60,2021-02-19
816090,1775042,124159,5798058,6576651,0,539261528894227160,62485910,1,0,0,2021-03-09 19:23:17.0,视动能力,空间位置判断训练,400,403,1,3,0,,,100,2021-03-10
